TIMESTAMP,ID,CHAT ID,MODEL,CTX SETTING,IN TOKEN,OUT TOKEN,TOTAL TOKEN,TTFT,TPS,CPU (%),RAM (gb)
1742735567.439447,1,20250323141245Guten Tag,llama3.2,2048,4,18,22,0.7429800033569336,12.936680624470199,3.6799999999999997,8.701959228515625
1742735574.616564,2,20250323141245Guten Tag,llama3.2,2048,23,72,95,0.45304203033447266,144.82468816090466,3.119230769230769,8.671336834247295
1742735580.541724,3,20250323141245Guten Tag,llama3.2,2048,95,106,201,0.21143817901611328,394.7226255403511,1.6371428571428572,8.652760532924107
1742735589.074999,4,20250323141245Guten Tag,llama3.2,2048,202,182,384,0.21504902839660645,608.5868992068218,2.198412698412699,8.605493939112103
1742735603.886127,5,20250323141245Guten Tag,llama3.2,2048,400,189,589,0.23252415657043457,574.649240915671,1.9924242424242424,8.60370566628196
1742735622.338815,6,20250323141245Guten Tag,llama3.2,2048,596,116,712,0.29863786697387695,316.774244458363,2.0023809523809524,8.586402529761905
1742735634.903373,7,20250323141245Guten Tag,llama3.2,2048,714,152,866,0.22886919975280762,489.7772328418154,2.7203703703703703,8.62021976047092
1742735642.7436821,8,20250323141245Guten Tag,llama3.2,2048,867,132,999,0.21898293495178223,455.32894821247936,1.9914893617021276,8.605804443359375
1742735765.653443,1,20250323141555so noch ei,llama3.2,2048,7,53,60,0.22701001167297363,6.853555599656832,2.8454545454545457,8.6400014703924
1742735768.9243362,2,20250323141555so noch ei,llama3.2,2048,61,93,154,0.18604183197021484,395.43514055186716,2.1655172413793102,8.633436005691003
1742735774.3340118,3,20250323141555so noch ei,llama3.2,2048,154,88,242,0.2048931121826172,339.69789885417146,2.033333333333333,8.612122044418797
1742735781.977003,4,20250323141555so noch ei,llama3.2,2048,245,151,396,0.21885108947753906,520.6991415130483,1.4040816326530612,8.63351129025829
1742735854.627071,1,20250323141733hello,llama3.2,2048,2,10,12,0.21878814697265625,9.486289302258676,0,0
1742735863.105448,2,20250323141733hello,llama3.2,2048,15,59,74,0.21680593490600586,61.82666224281357,2.95,8.648124694824219
1742735866.0301812,3,20250323141733hello,llama3.2,2048,74,43,117,0.1945509910583496,60.3489910608375,6.9,8.637222290039062
1742735870.172142,4,20250323141733hello,llama3.2,2048,119,102,221,0.21557021141052246,73.91965266563712,5.125,8.61883544921875
1742735883.791444,5,20250323141733hello,llama3.2,2048,222,87,309,0.23138785362243652,69.50689336545837,9.066666666666666,8.66632080078125
1742735887.637025,6,20250323141733hello,llama3.2,2048,311,64,375,0.21049213409423828,61.76859808404574,4.533333333333333,8.662134806315104
1742736645.022938,1,20250323143042test,llama3.2,2048,2,33,35,0.8920989036560059,15.845310098618178,2.9,8.857391357421875
1742736647.585572,2,20250323143042test,llama3.2,2048,36,64,100,0.45873475074768066,52.4135673070014,11.3,8.747398376464844
1742736651.195012,3,20250323143042test,llama3.2,2048,104,54,158,0.20331382751464844,55.26162338467184,4.75,8.7484130859375
